Parking_lot,yolo_car_count,date_time
StevensCreek,1.0,2020-06-02 14:31:00
StevensCreek,1.0,2020-06-02 14:41:00
StevensCreek,0.0,2020-06-02 14:51:00
StevensCreek,0.0,2020-06-02 15:01:00
StevensCreek,3.0,2020-06-02 15:11:00
StevensCreek,3.0,2020-06-02 15:21:00
StevensCreek,2.0,2020-06-02 15:31:00
StevensCreek,2.0,2020-06-02 15:41:00
StevensCreek,2.0,2020-06-02 15:51:00
StevensCreek,3.0,2020-06-02 16:02:00
StevensCreek,5.0,2020-06-02 16:12:00
StevensCreek,4.0,2020-06-02 16:22:00
StevensCreek,4.0,2020-06-02 16:32:00
StevensCreek,5.0,2020-06-02 16:42:00
StevensCreek,5.0,2020-06-02 16:52:00
StevensCreek,5.0,2020-06-02 17:02:00
StevensCreek,4.0,2020-06-02 17:12:00
StevensCreek,3.0,2020-06-02 17:22:00
StevensCreek,5.0,2020-06-02 17:32:00
StevensCreek,5.0,2020-06-02 17:42:00
StevensCreek,4.0,2020-06-02 17:52:00
StevensCreek,5.0,2020-06-02 18:02:00
StevensCreek,5.0,2020-06-02 18:12:00
StevensCreek,4.0,2020-06-02 18:22:00
StevensCreek,3.0,2020-06-02 18:32:00
StevensCreek,3.0,2020-06-02 18:42:00
StevensCreek,3.0,2020-06-02 18:53:00
StevensCreek,4.0,2020-06-02 19:04:00
StevensCreek,4.0,2020-06-02 19:15:00
StevensCreek,3.0,2020-06-02 19:26:00
StevensCreek,5.0,2020-06-02 19:37:00
StevensCreek,3.0,2020-06-02 19:47:00
StevensCreek,1.0,2020-06-02 19:57:00
StevensCreek,4.0,2020-06-02 20:07:00
StevensCreek,4.0,2020-06-02 20:18:00
StevensCreek,4.0,2020-06-02 20:28:00
StevensCreek,5.0,2020-06-02 20:38:00
StevensCreek,6.0,2020-06-02 20:48:00
StevensCreek,6.0,2020-06-02 20:58:00
StevensCreek,4.0,2020-06-02 21:08:00
StevensCreek,5.0,2020-06-02 21:19:00
StevensCreek,2.0,2020-06-02 21:30:00
StevensCreek,2.0,2020-06-02 21:40:00
StevensCreek,2.0,2020-06-02 21:50:00
Glenrose,3.0,2020-06-02 12:03:00
Glenrose,3.0,2020-06-02 12:19:00
Glenrose,4.0,2020-06-02 12:27:00
Glenrose,5.0,2020-06-02 13:16:00
Glenrose,6.0,2020-06-02 13:30:00
Glenrose,7.0,2020-06-02 13:40:00
Glenrose,9.0,2020-06-02 13:50:00
Glenrose,9.0,2020-06-02 14:01:00
Glenrose,9.0,2020-06-02 14:11:00
Glenrose,8.0,2020-06-02 14:21:00
Glenrose,10.0,2020-06-02 14:31:00
Glenrose,10.0,2020-06-02 14:41:00
Glenrose,8.0,2020-06-02 14:51:00
Glenrose,8.0,2020-06-02 15:01:00
Glenrose,5.0,2020-06-02 15:11:00
Glenrose,4.0,2020-06-02 15:21:00
Glenrose,4.0,2020-06-02 15:31:00
Glenrose,2.0,2020-06-02 15:41:00
Glenrose,2.0,2020-06-02 15:51:00
Glenrose,2.0,2020-06-02 16:02:00
Glenrose,3.0,2020-06-02 16:12:00
Glenrose,5.0,2020-06-02 16:22:00
Glenrose,5.0,2020-06-02 16:32:00
Glenrose,4.0,2020-06-02 16:42:00
Glenrose,4.0,2020-06-02 16:52:00
Glenrose,3.0,2020-06-02 17:02:00
Glenrose,3.0,2020-06-02 17:12:00
Glenrose,3.0,2020-06-02 17:22:00
Glenrose,2.0,2020-06-02 17:32:00
Glenrose,1.0,2020-06-02 17:42:00
Glenrose,1.0,2020-06-02 17:52:00
Glenrose,1.0,2020-06-02 18:02:00
Glenrose,4.0,2020-06-02 18:12:00
Glenrose,3.0,2020-06-02 18:22:00
Glenrose,4.0,2020-06-02 18:32:00
Glenrose,5.0,2020-06-02 18:42:00
Glenrose,3.0,2020-06-02 18:53:00
Glenrose,3.0,2020-06-02 19:04:00
Glenrose,6.0,2020-06-02 19:15:00
Glenrose,5.0,2020-06-02 19:26:00
Glenrose,4.0,2020-06-02 19:37:00
Glenrose,6.0,2020-06-02 19:47:00
Glenrose,5.0,2020-06-02 19:57:00
Glenrose,5.0,2020-06-02 20:07:00
Glenrose,5.0,2020-06-02 20:18:00
Glenrose,4.0,2020-06-02 20:28:00
Glenrose,4.0,2020-06-02 20:38:00
Glenrose,6.0,2020-06-02 20:48:00
Glenrose,5.0,2020-06-02 20:58:00
Glenrose,3.0,2020-06-02 21:08:00
Glenrose,2.0,2020-06-02 21:19:00
Glenrose,1.0,2020-06-02 21:30:00
Glenrose,1.0,2020-06-02 21:40:00
Glenrose,0.0,2020-06-02 21:50:00
AntoineW,1.0,2020-06-02 22:00:00
AntoineW,1.0,2020-06-02 22:10:00
AntoineW,1.0,2020-06-02 22:20:00
AntoineW,1.0,2020-06-02 22:31:00
AntoineW,1.0,2020-06-02 22:41:00
AntoineW,1.0,2020-06-02 22:53:00
AntoineW,1.0,2020-06-02 23:04:00
AntoineW,1.0,2020-06-02 23:15:00
AntoineW,0.0,2020-06-02 23:26:00
AntoineW,0.0,2020-06-02 23:37:00
AntoineW,0.0,2020-06-02 23:49:00
AntoineW,0.0,2020-06-03 00:00:00
AntoineW,0.0,2020-06-03 00:11:00
AntoineW,0.0,2020-06-03 00:22:00
AntoineW,0.0,2020-06-03 00:33:00
AntoineW,0.0,2020-06-03 00:44:00
AntoineW,0.0,2020-06-03 00:54:00
AntoineW,0.0,2020-06-03 01:05:00
AntoineW,0.0,2020-06-03 01:16:00
AntoineW,0.0,2020-06-03 01:27:00
AntoineW,0.0,2020-06-03 01:37:00
AntoineW,0.0,2020-06-03 01:49:00
AntoineW,0.0,2020-06-03 02:01:00
AntoineW,0.0,2020-06-03 02:12:00
AntoineW,0.0,2020-06-03 02:22:00
AntoineW,0.0,2020-06-03 02:33:00
AntoineW,0.0,2020-06-03 02:44:00
AntoineW,0.0,2020-06-03 02:55:00
AntoineW,0.0,2020-06-03 03:06:00
AntoineW,0.0,2020-06-03 03:17:00
AntoineW,0.0,2020-06-03 03:29:00
AntoineW,0.0,2020-06-03 03:40:00
AntoineW,0.0,2020-06-03 03:51:00
AntoineW,0.0,2020-06-03 04:02:00
AntoineW,0.0,2020-06-03 04:12:00
AntoineW,0.0,2020-06-03 04:23:00
AntoineW,0.0,2020-06-03 04:35:00
AntoineW,0.0,2020-06-03 04:45:00
AntoineW,0.0,2020-06-03 04:58:00
AntoineW,0.0,2020-06-03 05:09:00
AntoineW,0.0,2020-06-03 05:20:00
AntoineW,0.0,2020-06-03 05:31:00
AntoineW,0.0,2020-06-03 05:42:00
AntoineW,1.0,2020-06-03 05:53:00
AntoineW,1.0,2020-06-03 06:03:00
AntoineW,1.0,2020-06-03 06:14:00
AntoineW,1.0,2020-06-03 06:25:00
AntoineW,1.0,2020-06-03 06:36:00
AntoineW,1.0,2020-06-03 06:47:00
AntoineW,0.0,2020-06-03 06:57:00
AntoineW,1.0,2020-06-03 07:08:00
AntoineW,1.0,2020-06-03 07:19:00
AntoineW,1.0,2020-06-03 07:30:00
AntoineW,1.0,2020-06-03 07:41:00
AntoineW,0.0,2020-06-03 07:52:00
