Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
IllerCreek,02-06-2020-12-03.jpeg,6,2,2020,12,3,7
IllerCreek,02-06-2020-12-19.jpeg,6,2,2020,12,19,7
IllerCreek,02-06-2020-12-27.jpeg,6,2,2020,12,27,6
IllerCreek,02-06-2020-13-16.jpeg,6,2,2020,13,16,8
IllerCreek,02-06-2020-13-30.jpeg,6,2,2020,13,30,6
IllerCreek,02-06-2020-13-40.jpeg,6,2,2020,13,40,5
IllerCreek,02-06-2020-13-50.jpeg,6,2,2020,13,50,7
IllerCreek,02-06-2020-14-01.jpeg,6,2,2020,14,1,3
IllerCreek,02-06-2020-14-11.jpeg,6,2,2020,14,11,9
IllerCreek,02-06-2020-14-21.jpeg,6,2,2020,14,21,9
IllerCreek,02-06-2020-14-31.jpeg,6,2,2020,14,31,8
IllerCreek,02-06-2020-14-41.jpeg,6,2,2020,14,41,8
IllerCreek,02-06-2020-14-51.jpeg,6,2,2020,14,51,8
IllerCreek,02-06-2020-15-01.jpeg,6,2,2020,15,1,7
IllerCreek,02-06-2020-15-11.jpeg,6,2,2020,15,11,8
IllerCreek,02-06-2020-15-21.jpeg,6,2,2020,15,21,8
IllerCreek,02-06-2020-15-31.jpeg,6,2,2020,15,31,7
IllerCreek,02-06-2020-15-41.jpeg,6,2,2020,15,41,7
IllerCreek,02-06-2020-15-51.jpeg,6,2,2020,15,51,7
IllerCreek,02-06-2020-16-02.jpeg,6,2,2020,16,2,7
IllerCreek,02-06-2020-16-12.jpeg,6,2,2020,16,12,9
IllerCreek,02-06-2020-16-22.jpeg,6,2,2020,16,22,10
IllerCreek,02-06-2020-16-32.jpeg,6,2,2020,16,32,9
IllerCreek,02-06-2020-16-42.jpeg,6,2,2020,16,42,6
IllerCreek,02-06-2020-16-52.jpeg,6,2,2020,16,52,6
IllerCreek,02-06-2020-17-02.jpeg,6,2,2020,17,2,5
IllerCreek,02-06-2020-17-12.jpeg,6,2,2020,17,12,6
IllerCreek,02-06-2020-17-22.jpeg,6,2,2020,17,22,6
IllerCreek,02-06-2020-17-32.jpeg,6,2,2020,17,32,6
IllerCreek,02-06-2020-17-42.jpeg,6,2,2020,17,42,7
IllerCreek,02-06-2020-17-52.jpeg,6,2,2020,17,52,6
IllerCreek,02-06-2020-18-02.jpeg,6,2,2020,18,2,6
IllerCreek,02-06-2020-18-12.jpeg,6,2,2020,18,12,3
IllerCreek,02-06-2020-18-22.jpeg,6,2,2020,18,22,3
IllerCreek,02-06-2020-18-32.jpeg,6,2,2020,18,32,3
IllerCreek,02-06-2020-18-42.jpeg,6,2,2020,18,42,3
IllerCreek,02-06-2020-18-53.jpeg,6,2,2020,18,53,3
IllerCreek,02-06-2020-19-04.jpeg,6,2,2020,19,4,4
IllerCreek,02-06-2020-19-15.jpeg,6,2,2020,19,15,5
IllerCreek,02-06-2020-19-26.jpeg,6,2,2020,19,26,4
IllerCreek,02-06-2020-19-37.jpeg,6,2,2020,19,37,5
IllerCreek,02-06-2020-19-47.jpeg,6,2,2020,19,47,5
IllerCreek,02-06-2020-19-57.jpeg,6,2,2020,19,57,5
IllerCreek,02-06-2020-20-07.jpeg,6,2,2020,20,7,4
IllerCreek,02-06-2020-20-18.jpeg,6,2,2020,20,18,2
IllerCreek,02-06-2020-20-28.jpeg,6,2,2020,20,28,2
IllerCreek,02-06-2020-20-38.jpeg,6,2,2020,20,38,1
IllerCreek,02-06-2020-20-48.jpeg,6,2,2020,20,48,1
IllerCreek,02-06-2020-20-58.jpeg,6,2,2020,20,58,0
IllerCreek,02-06-2020-21-08.jpeg,6,2,2020,21,8,0
IllerCreek,02-06-2020-21-19.jpeg,6,2,2020,21,19,0
IllerCreek,02-06-2020-21-30.jpeg,6,2,2020,21,30,0
IllerCreek,02-06-2020-21-40.jpeg,6,2,2020,21,40,0
IllerCreek,02-06-2020-21-50.jpeg,6,2,2020,21,50,0
AntoineW,02-06-2020-12-03.jpeg,6,2,2020,12,3,4
AntoineW,02-06-2020-12-19.jpeg,6,2,2020,12,19,4
AntoineW,02-06-2020-12-27.jpeg,6,2,2020,12,27,4
AntoineW,02-06-2020-13-16.jpeg,6,2,2020,13,16,3
AntoineW,02-06-2020-13-30.jpeg,6,2,2020,13,30,3
AntoineW,02-06-2020-13-40.jpeg,6,2,2020,13,40,1
AntoineW,02-06-2020-13-50.jpeg,6,2,2020,13,50,1
AntoineW,02-06-2020-14-01.jpeg,6,2,2020,14,1,1
AntoineW,02-06-2020-14-11.jpeg,6,2,2020,14,11,1
AntoineW,02-06-2020-14-21.jpeg,6,2,2020,14,21,1
AntoineW,02-06-2020-14-31.jpeg,6,2,2020,14,31,1
AntoineW,02-06-2020-14-41.jpeg,6,2,2020,14,41,1
AntoineW,02-06-2020-14-51.jpeg,6,2,2020,14,51,1
AntoineW,02-06-2020-15-01.jpeg,6,2,2020,15,1,2
AntoineW,02-06-2020-15-11.jpeg,6,2,2020,15,11,2
AntoineW,02-06-2020-15-21.jpeg,6,2,2020,15,21,3
AntoineW,02-06-2020-15-31.jpeg,6,2,2020,15,31,4
AntoineW,02-06-2020-15-41.jpeg,6,2,2020,15,41,6
AntoineW,02-06-2020-15-51.jpeg,6,2,2020,15,51,6
AntoineW,02-06-2020-16-02.jpeg,6,2,2020,16,2,6
AntoineW,02-06-2020-16-12.jpeg,6,2,2020,16,12,5
AntoineW,02-06-2020-16-22.jpeg,6,2,2020,16,22,4
AntoineW,02-06-2020-16-32.jpeg,6,2,2020,16,32,4
AntoineW,02-06-2020-16-42.jpeg,6,2,2020,16,42,3
AntoineW,02-06-2020-16-52.jpeg,6,2,2020,16,52,2
AntoineW,02-06-2020-17-02.jpeg,6,2,2020,17,2,2
AntoineW,02-06-2020-17-12.jpeg,6,2,2020,17,12,1
AntoineW,02-06-2020-17-22.jpeg,6,2,2020,17,22,1
AntoineW,02-06-2020-17-32.jpeg,6,2,2020,17,32,1
AntoineW,02-06-2020-17-42.jpeg,6,2,2020,17,42,1
AntoineW,02-06-2020-17-52.jpeg,6,2,2020,17,52,1
AntoineW,02-06-2020-18-02.jpeg,6,2,2020,18,2,2
AntoineW,02-06-2020-18-12.jpeg,6,2,2020,18,12,2
AntoineW,02-06-2020-18-22.jpeg,6,2,2020,18,22,2
AntoineW,02-06-2020-18-32.jpeg,6,2,2020,18,32,2
AntoineW,02-06-2020-18-42.jpeg,6,2,2020,18,42,2
AntoineW,02-06-2020-18-53.jpeg,6,2,2020,18,53,2
AntoineW,02-06-2020-19-04.jpeg,6,2,2020,19,4,1
AntoineW,02-06-2020-19-15.jpeg,6,2,2020,19,15,2
AntoineW,02-06-2020-19-26.jpeg,6,2,2020,19,26,3
AntoineW,02-06-2020-19-37.jpeg,6,2,2020,19,37,3
AntoineW,02-06-2020-19-47.jpeg,6,2,2020,19,47,2
AntoineW,02-06-2020-19-57.jpeg,6,2,2020,19,57,2
AntoineW,02-06-2020-20-07.jpeg,6,2,2020,20,7,2
AntoineW,02-06-2020-20-18.jpeg,6,2,2020,20,18,3
AntoineW,02-06-2020-20-28.jpeg,6,2,2020,20,28,2
AntoineW,02-06-2020-20-38.jpeg,6,2,2020,20,38,2
AntoineW,02-06-2020-20-48.jpeg,6,2,2020,20,48,2
AntoineW,02-06-2020-20-58.jpeg,6,2,2020,20,58,1
AntoineW,02-06-2020-21-08.jpeg,6,2,2020,21,8,1
AntoineW,02-06-2020-21-19.jpeg,6,2,2020,21,19,1
AntoineW,02-06-2020-21-30.jpeg,6,2,2020,21,30,1
AntoineW,02-06-2020-21-40.jpeg,6,2,2020,21,40,1
AntoineW,02-06-2020-21-50.jpeg,6,2,2020,21,50,1
StevensCreek,02-06-2020-12-03.jpeg,6,2,2020,12,3,2
StevensCreek,02-06-2020-12-19.jpeg,6,2,2020,12,19,2
StevensCreek,02-06-2020-12-27.jpeg,6,2,2020,12,27,2
StevensCreek,02-06-2020-13-16.jpeg,6,2,2020,13,16,3
StevensCreek,02-06-2020-13-30.jpeg,6,2,2020,13,30,3
StevensCreek,02-06-2020-13-40.jpeg,6,2,2020,13,40,2
StevensCreek,02-06-2020-13-50.jpeg,6,2,2020,13,50,2
StevensCreek,02-06-2020-14-01.jpeg,6,2,2020,14,1,2
StevensCreek,02-06-2020-14-11.jpeg,6,2,2020,14,11,1
StevensCreek,02-06-2020-14-21.jpeg,6,2,2020,14,21,1
