Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
AntoineW,04-06-2020-15-37.jpeg,6,4,2020,15,37,4
AntoineW,04-06-2020-19-43.jpeg,6,4,2020,19,43,3
AntoineW,04-06-2020-02-25.jpeg,6,4,2020,2,25,0
AntoineW,04-06-2020-17-30.jpeg,6,4,2020,17,30,5
AntoineW,03-06-2020-22-12.jpeg,6,3,2020,22,12,1
AntoineW,04-06-2020-04-36.jpeg,6,4,2020,4,36,0
AntoineW,03-06-2020-18-11.jpeg,6,3,2020,18,11,6
AntoineW,04-06-2020-08-35.jpeg,6,4,2020,8,35,0
AntoineW,04-06-2020-00-02.jpeg,6,4,2020,0,2,0
AntoineW,03-06-2020-18-31.jpeg,6,3,2020,18,31,5
AntoineW,03-06-2020-20-58.jpeg,6,3,2020,20,58,1
AntoineW,04-06-2020-07-51.jpeg,6,4,2020,7,51,0
AntoineW,04-06-2020-17-51.jpeg,6,4,2020,17,51,7
AntoineW,04-06-2020-14-57.jpeg,6,4,2020,14,57,4
AntoineW,04-06-2020-17-10.jpeg,6,4,2020,17,10,3
AntoineW,04-06-2020-06-46.jpeg,6,4,2020,6,46,0
AntoineW,03-06-2020-21-18.jpeg,6,3,2020,21,18,1
AntoineW,04-06-2020-16-07.jpeg,6,4,2020,16,7,5
AntoineW,04-06-2020-15-17.jpeg,6,4,2020,15,17,4
AntoineW,04-06-2020-20-26.jpeg,6,4,2020,20,26,1
AntoineW,04-06-2020-19-23.jpeg,6,4,2020,19,23,4
AntoineW,04-06-2020-15-57.jpeg,6,4,2020,15,57,5
AntoineW,04-06-2020-03-52.jpeg,6,4,2020,3,52,0
AntoineW,03-06-2020-23-08.jpeg,6,3,2020,23,8,0
AntoineW,04-06-2020-18-22.jpeg,6,4,2020,18,22,8
AntoineW,04-06-2020-14-17.jpeg,6,4,2020,14,17,2
AntoineW,04-06-2020-18-43.jpeg,6,4,2020,18,43,9
AntoineW,04-06-2020-14-37.jpeg,6,4,2020,14,37,2
AntoineW,04-06-2020-22-40.jpeg,6,4,2020,22,40,0
AntoineW,04-06-2020-08-02.jpeg,6,4,2020,8,2,0
AntoineW,03-06-2020-20-38.jpeg,6,3,2020,20,38,1
AntoineW,03-06-2020-18-51.jpeg,6,3,2020,18,51,5
AntoineW,04-06-2020-08-55.jpeg,6,4,2020,8,55,2
AntoineW,04-06-2020-21-11.jpeg,6,4,2020,21,11,0
AntoineW,03-06-2020-21-39.jpeg,6,3,2020,21,39,0
AntoineW,04-06-2020-23-57.jpeg,6,4,2020,23,57,0
AntoineW,04-06-2020-19-03.jpeg,6,4,2020,19,3,5
AntoineW,04-06-2020-05-20.jpeg,6,4,2020,5,20,0
AntoineW,04-06-2020-19-54.jpeg,6,4,2020,19,54,1
AntoineW,04-06-2020-03-09.jpeg,6,4,2020,3,9,0
AntoineW,04-06-2020-00-58.jpeg,6,4,2020,0,58,0
AntoineW,04-06-2020-18-33.jpeg,6,4,2020,18,33,10
AntoineW,03-06-2020-23-19.jpeg,6,3,2020,23,19,0
AntoineW,04-06-2020-17-00.jpeg,6,4,2020,17,0,2
AntoineW,04-06-2020-14-47.jpeg,6,4,2020,14,47,2
AntoineW,04-06-2020-04-47.jpeg,6,4,2020,4,47,0
AntoineW,03-06-2020-18-21.jpeg,6,3,2020,18,21,5
AntoineW,03-06-2020-20-48.jpeg,6,3,2020,20,48,0
AntoineW,04-06-2020-17-41.jpeg,6,4,2020,17,41,7
AntoineW,04-06-2020-08-25.jpeg,6,4,2020,8,25,0
AntoineW,04-06-2020-02-03.jpeg,6,4,2020,2,3,0
AntoineW,04-06-2020-20-37.jpeg,6,4,2020,20,37,1
AntoineW,04-06-2020-16-17.jpeg,6,4,2020,16,17,5
AntoineW,04-06-2020-15-07.jpeg,6,4,2020,15,7,4
AntoineW,03-06-2020-21-08.jpeg,6,3,2020,21,8,1
AntoineW,04-06-2020-01-52.jpeg,6,4,2020,1,52,0
AntoineW,04-06-2020-23-46.jpeg,6,4,2020,23,46,0
AntoineW,04-06-2020-05-31.jpeg,6,4,2020,5,31,0
AntoineW,03-06-2020-21-28.jpeg,6,3,2020,21,28,1
AntoineW,04-06-2020-15-27.jpeg,6,4,2020,15,27,4
AntoineW,03-06-2020-18-01.jpeg,6,3,2020,18,1,6
AntoineW,04-06-2020-02-58.jpeg,6,4,2020,2,58,0
AntoineW,04-06-2020-22-51.jpeg,6,4,2020,22,51,0
AntoineW,04-06-2020-17-20.jpeg,6,4,2020,17,20,1
AntoineW,04-06-2020-08-13.jpeg,6,4,2020,8,13,0
AntoineW,04-06-2020-21-00.jpeg,6,4,2020,21,0,0
AntoineW,04-06-2020-00-24.jpeg,6,4,2020,0,24,0
AntoineW,04-06-2020-08-45.jpeg,6,4,2020,8,45,0
AntoineW,04-06-2020-01-08.jpeg,6,4,2020,1,8,0
AntoineW,03-06-2020-20-28.jpeg,6,3,2020,20,28,1
AntoineW,03-06-2020-18-41.jpeg,6,3,2020,18,41,5
AntoineW,04-06-2020-14-27.jpeg,6,4,2020,14,27,2
AntoineW,04-06-2020-18-53.jpeg,6,4,2020,18,53,6
AntoineW,04-06-2020-03-19.jpeg,6,4,2020,3,19,0
AntoineW,04-06-2020-19-13.jpeg,6,4,2020,19,13,5
AntoineW,04-06-2020-15-47.jpeg,6,4,2020,15,47,4
AntoineW,04-06-2020-06-57.jpeg,6,4,2020,6,57,0
AntoineW,04-06-2020-02-14.jpeg,6,4,2020,2,14,0
