Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count,image,car_count
IllerCreek,02-06-2020-12-03.jpeg,6,2,2020,12,3,7,02-06-2020-12-03.jpeg,9
IllerCreek,02-06-2020-12-19.jpeg,6,2,2020,12,19,7,02-06-2020-12-19.jpeg,9
IllerCreek,02-06-2020-12-27.jpeg,6,2,2020,12,27,6,02-06-2020-12-27.jpeg,7
IllerCreek,02-06-2020-13-16.jpeg,6,2,2020,13,16,8,02-06-2020-13-16.jpeg,9
IllerCreek,02-06-2020-13-30.jpeg,6,2,2020,13,30,6,02-06-2020-13-30.jpeg,10
IllerCreek,02-06-2020-13-40.jpeg,6,2,2020,13,40,5,02-06-2020-13-40.jpeg,10
IllerCreek,02-06-2020-13-50.jpeg,6,2,2020,13,50,7,02-06-2020-13-50.jpeg,9
IllerCreek,02-06-2020-14-01.jpeg,6,2,2020,14,1,3,02-06-2020-14-01.jpeg,9
IllerCreek,02-06-2020-14-11.jpeg,6,2,2020,14,11,9,02-06-2020-14-11.jpeg,10
IllerCreek,02-06-2020-14-21.jpeg,6,2,2020,14,21,9,02-06-2020-14-21.jpeg,11
IllerCreek,02-06-2020-14-31.jpeg,6,2,2020,14,31,8,02-06-2020-14-31.jpeg,8
IllerCreek,02-06-2020-14-41.jpeg,6,2,2020,14,41,8,02-06-2020-14-41.jpeg,9
IllerCreek,02-06-2020-14-51.jpeg,6,2,2020,14,51,8,02-06-2020-14-51.jpeg,9
IllerCreek,02-06-2020-15-01.jpeg,6,2,2020,15,1,7,02-06-2020-15-01.jpeg,9
IllerCreek,02-06-2020-15-11.jpeg,6,2,2020,15,11,8,02-06-2020-15-11.jpeg,9
IllerCreek,02-06-2020-15-21.jpeg,6,2,2020,15,21,8,02-06-2020-15-21.jpeg,12
IllerCreek,02-06-2020-15-31.jpeg,6,2,2020,15,31,7,02-06-2020-15-31.jpeg,11
IllerCreek,02-06-2020-15-41.jpeg,6,2,2020,15,41,7,02-06-2020-15-41.jpeg,12
IllerCreek,02-06-2020-15-51.jpeg,6,2,2020,15,51,7,02-06-2020-15-51.jpeg,11
IllerCreek,02-06-2020-16-02.jpeg,6,2,2020,16,2,7,02-06-2020-16-02.jpeg,11
IllerCreek,02-06-2020-16-12.jpeg,6,2,2020,16,12,9,02-06-2020-16-12.jpeg,12
IllerCreek,02-06-2020-16-22.jpeg,6,2,2020,16,22,10,02-06-2020-16-22.jpeg,13
IllerCreek,02-06-2020-16-32.jpeg,6,2,2020,16,32,9,02-06-2020-16-32.jpeg,12
IllerCreek,02-06-2020-16-42.jpeg,6,2,2020,16,42,6,02-06-2020-16-42.jpeg,11
