Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count,image,car_count
AntoineW,03-06-2020-08-57.jpeg,6,3,2020,8,57,0,03-06-2020-08-57.jpeg,2
AntoineW,03-06-2020-09-07.jpeg,6,3,2020,9,7,2,03-06-2020-09-07.jpeg,3
AntoineW,03-06-2020-09-17.jpeg,6,3,2020,9,17,3,03-06-2020-09-17.jpeg,4
AntoineW,03-06-2020-09-27.jpeg,6,3,2020,9,27,2,03-06-2020-09-27.jpeg,3
AntoineW,03-06-2020-09-37.jpeg,6,3,2020,9,37,4,03-06-2020-09-37.jpeg,4
AntoineW,03-06-2020-09-47.jpeg,6,3,2020,9,47,4,03-06-2020-09-47.jpeg,4
AntoineW,03-06-2020-09-57.jpeg,6,3,2020,9,57,4,03-06-2020-09-57.jpeg,5
AntoineW,03-06-2020-10-07.jpeg,6,3,2020,10,7,4,03-06-2020-10-07.jpeg,5
AntoineW,03-06-2020-10-17.jpeg,6,3,2020,10,17,4,03-06-2020-10-17.jpeg,5
AntoineW,03-06-2020-10-27.jpeg,6,3,2020,10,27,4,03-06-2020-10-27.jpeg,6
AntoineW,03-06-2020-10-37.jpeg,6,3,2020,10,37,5,03-06-2020-10-37.jpeg,6
AntoineW,03-06-2020-10-47.jpeg,6,3,2020,10,47,4,03-06-2020-10-47.jpeg,6
AntoineW,03-06-2020-10-57.jpeg,6,3,2020,10,57,4,03-06-2020-10-57.jpeg,7
AntoineW,03-06-2020-11-07.jpeg,6,3,2020,11,7,5,03-06-2020-11-07.jpeg,8
AntoineW,03-06-2020-11-17.jpeg,6,3,2020,11,17,4,03-06-2020-11-17.jpeg,8
AntoineW,03-06-2020-11-27.jpeg,6,3,2020,11,27,5,03-06-2020-11-27.jpeg,8
AntoineW,03-06-2020-11-37.jpeg,6,3,2020,11,37,2,03-06-2020-11-37.jpeg,7
AntoineW,03-06-2020-11-48.jpeg,6,3,2020,11,48,2,03-06-2020-11-48.jpeg,7
AntoineW,03-06-2020-11-58.jpeg,6,3,2020,11,58,2,03-06-2020-11-58.jpeg,6
AntoineW,03-06-2020-12-08.jpeg,6,3,2020,12,8,2,03-06-2020-12-08.jpeg,6
AntoineW,03-06-2020-12-18.jpeg,6,3,2020,12,18,2,03-06-2020-12-18.jpeg,6
AntoineW,03-06-2020-12-29.jpeg,6,3,2020,12,29,2,03-06-2020-12-29.jpeg,5
AntoineW,03-06-2020-12-39.jpeg,6,3,2020,12,39,5,03-06-2020-12-39.jpeg,7
AntoineW,03-06-2020-12-49.jpeg,6,3,2020,12,49,4,03-06-2020-12-49.jpeg,5
AntoineW,03-06-2020-12-59.jpeg,6,3,2020,12,59,4,03-06-2020-12-59.jpeg,5
AntoineW,03-06-2020-13-09.jpeg,6,3,2020,13,9,4,03-06-2020-13-09.jpeg,5
AntoineW,03-06-2020-13-19.jpeg,6,3,2020,13,19,3,03-06-2020-13-19.jpeg,4
AntoineW,03-06-2020-13-29.jpeg,6,3,2020,13,29,3,03-06-2020-13-29.jpeg,5
AntoineW,03-06-2020-13-39.jpeg,6,3,2020,13,39,4,03-06-2020-13-39.jpeg,5
AntoineW,03-06-2020-13-49.jpeg,6,3,2020,13,49,4,03-06-2020-13-49.jpeg,5
AntoineW,03-06-2020-13-59.jpeg,6,3,2020,13,59,5,03-06-2020-13-59.jpeg,6
AntoineW,03-06-2020-14-09.jpeg,6,3,2020,14,9,5,03-06-2020-14-09.jpeg,6
AntoineW,03-06-2020-14-19.jpeg,6,3,2020,14,19,5,03-06-2020-14-19.jpeg,6
AntoineW,03-06-2020-14-29.jpeg,6,3,2020,14,29,4,03-06-2020-14-29.jpeg,5
AntoineW,03-06-2020-14-40.jpeg,6,3,2020,14,40,1,03-06-2020-14-40.jpeg,4
AntoineW,03-06-2020-14-50.jpeg,6,3,2020,14,50,0,03-06-2020-14-50.jpeg,3
AntoineW,03-06-2020-15-00.jpeg,6,3,2020,15,0,0,03-06-2020-15-00.jpeg,3
AntoineW,03-06-2020-15-10.jpeg,6,3,2020,15,10,1,03-06-2020-15-10.jpeg,5
AntoineW,03-06-2020-15-20.jpeg,6,3,2020,15,20,4,03-06-2020-15-20.jpeg,6
AntoineW,03-06-2020-15-30.jpeg,6,3,2020,15,30,2,03-06-2020-15-30.jpeg,5
AntoineW,03-06-2020-15-40.jpeg,6,3,2020,15,40,4,03-06-2020-15-40.jpeg,6
AntoineW,03-06-2020-15-50.jpeg,6,3,2020,15,50,5,03-06-2020-15-50.jpeg,6
AntoineW,03-06-2020-16-00.jpeg,6,3,2020,16,0,4,03-06-2020-16-00.jpeg,6
AntoineW,03-06-2020-16-10.jpeg,6,3,2020,16,10,3,03-06-2020-16-10.jpeg,5
AntoineW,03-06-2020-16-20.jpeg,6,3,2020,16,20,4,03-06-2020-16-20.jpeg,7
AntoineW,03-06-2020-16-30.jpeg,6,3,2020,16,30,5,03-06-2020-16-30.jpeg,9
AntoineW,03-06-2020-16-40.jpeg,6,3,2020,16,40,4,03-06-2020-16-40.jpeg,9
AntoineW,03-06-2020-16-50.jpeg,6,3,2020,16,50,5,03-06-2020-16-50.jpeg,7
AntoineW,03-06-2020-17-00.jpeg,6,3,2020,17,0,5,03-06-2020-17-00.jpeg,6
