Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
AntoineW,03-06-2020-14-09.jpeg,6,3,2020,14,9,5
AntoineW,03-06-2020-14-19.jpeg,6,3,2020,14,19,5
AntoineW,03-06-2020-14-29.jpeg,6,3,2020,14,29,4
AntoineW,03-06-2020-14-40.jpeg,6,3,2020,14,40,1
AntoineW,03-06-2020-14-50.jpeg,6,3,2020,14,50,0
AntoineW,03-06-2020-15-00.jpeg,6,3,2020,15,0,0
AntoineW,03-06-2020-15-10.jpeg,6,3,2020,15,10,1
AntoineW,03-06-2020-15-20.jpeg,6,3,2020,15,20,4
AntoineW,03-06-2020-15-30.jpeg,6,3,2020,15,30,2
AntoineW,03-06-2020-15-40.jpeg,6,3,2020,15,40,4
AntoineW,03-06-2020-15-50.jpeg,6,3,2020,15,50,5
AntoineW,03-06-2020-16-00.jpeg,6,3,2020,16,0,4
AntoineW,03-06-2020-16-10.jpeg,6,3,2020,16,10,3
AntoineW,03-06-2020-16-20.jpeg,6,3,2020,16,20,4
AntoineW,03-06-2020-16-30.jpeg,6,3,2020,16,30,5
AntoineW,03-06-2020-16-40.jpeg,6,3,2020,16,40,4
AntoineW,03-06-2020-16-50.jpeg,6,3,2020,16,50,5
AntoineW,03-06-2020-17-00.jpeg,6,3,2020,17,0,5
AntoineW,03-06-2020-17-10.jpeg,6,3,2020,17,10,6
AntoineW,03-06-2020-17-20.jpeg,6,3,2020,17,20,6
Glenrose,02-06-2020-22-00.jpeg,6,2,2020,22,0,0
Glenrose,02-06-2020-22-10.jpeg,6,2,2020,22,10,0
Glenrose,02-06-2020-22-20.jpeg,6,2,2020,22,20,0
Glenrose,02-06-2020-22-31.jpeg,6,2,2020,22,31,0
Glenrose,02-06-2020-22-41.jpeg,6,2,2020,22,41,0
Glenrose,02-06-2020-22-53.jpeg,6,2,2020,22,53,0
Glenrose,02-06-2020-23-04.jpeg,6,2,2020,23,4,0
Glenrose,02-06-2020-23-15.jpeg,6,2,2020,23,15,0
Glenrose,02-06-2020-23-26.jpeg,6,2,2020,23,26,0
Glenrose,02-06-2020-23-37.jpeg,6,2,2020,23,37,0
Glenrose,02-06-2020-23-49.jpeg,6,2,2020,23,49,1
Glenrose,03-06-2020-00-00.jpeg,6,3,2020,0,0,2
Glenrose,03-06-2020-00-11.jpeg,6,3,2020,0,11,1
Glenrose,03-06-2020-00-22.jpeg,6,3,2020,0,22,0
Glenrose,03-06-2020-00-33.jpeg,6,3,2020,0,33,0
